Subject,Session,Age,Group,Handedness,Sex,400H_same,400N_same,400H_self,400N_self,400H_time,400N_time,600H_same,600N_same,600H_self,600N_self,600H_time,600N_time,800H_same,800N_same,800H_self,800N_self,800H_time,800N_time,1000H_same,1000N_same,1000H_self,1000N_self,1000H_time,1000N_time,1200H_same,1200N_same,1200H_self,1200N_self,1200H_time,1200N_time,1400H_same,1400N_same,1400H_self,1400N_self,1400H_time,1400N_time,1600H_same,1600N_same,1600H_self,1600N_self,1600H_time,1600N_time
70,2,21,A,right,female,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.75,0,0.75,0.25,0,0.75,0.75,1,1,0.75,0.75,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1
1,1,28,B,right,male,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0.5,0.5,0.25,0,0.333333333,0.5,0.75,0.75,0,1,0.75,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,28,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.25,0.5,0,1,0.25,0.5,0.25,0.75,0.75,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1
6,1,22,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.75,1,0.5,0.75,1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1
6,2,22,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.25,1,0.5,1,1,0.5,0.5,1,1,1,1,1,0.75,0.5,1,1,1,1,1,1,1,1,1,1,1
11,1,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.25,0,0.5,0.5,0,0.75,0.5,0.75,0.5,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1
11,2,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0.5,0.5,0.75,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1
12,1,28,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333,0,1,0.25,0.5,0.333333333,0.75,0,1,1,0.75,0.5,0.666666667,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1
12,2,28,B,right,male,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,20,B,right,female,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.5,0.25,0.666666667,0.333333333,0.5,0.25,0.25,0.75,0.75,0.75,0.25,0.75,0.5,0.75,0.666666667,0.25,0.25,0.5,1,0.75,0.75
15,2,20,B,right,female,0,0.25,0,0,0,0,0,0,0.333333333,0,0,0,0.25,0.333333333,0,0,0,0,0.25,0.25,0.75,0,0.5,0.5,0.5,1,0,0.75,1,0.25,0.75,0.25,0.25,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5
18,1,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.75,0.5,0.5,0.75,0.5,1,0.75,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1
18,2,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0.5,0.25,0.25,0.25,0,1,1,1,0.5,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1
19,1,25,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.5,0.333333333,0.333333333,0.333333333,0.666666667,0,0.75,0.25,0.75,0.75,0.5,0.75,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1
19,2,25,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0.25,0.5,0,0.75,0.25,0.666666667,0.5,0.75,0.5,0.5,0.25,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,22,B,right,female,0,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333,0.5,0.5,0.5,0,0,1,1,1,0.5,0.5,0.5,1,0.75,0.666666667,1,1,1,1,1,0.75,0.75,1,0.75,1,0.75,1,0.75,1,1
20,2,22,B,right,female,0.25,0,0,0,0,0,0.5,0.25,0.5,0,0,0.5,0.75,0,0.75,0,0.5,0.75,0.75,0.5,0.25,0.75,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1
21,1,22,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.5,0.5,0.5,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,2,22,B,right,male,0,0,0,0,0,0,0,0.25,0.25,0,0,0,1,1,0.25,0.75,0.5,0.5,1,1,0.75,1,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1
23,1,22,B,right,female,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0.25,0,0.5,0,0.25,0,0.5,0.5,0.5,0.25,0.75,0.5,1,0.5,1,1,1,1,1,1,1,0.75,0.75,1,1,0.75,1,0.75,1,1
23,2,22,B,right,female,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0.75,0.25,0.75,1,1,0.5,0.5,0.75,0.75,0.75,1,0,1,0.25,0.75,0.75,1,0.75,0.5,1,1,1,1,1,1
24,1,21,B,right,female,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0.5,0.5,0.5,0.25,0.666666667,0.5,0.25,0.25,0.75,1,0.75,0.5,0.25,0.75,1,0.75,1,1,1,0.75,1,0.75,1,1,1,1
24,2,21,B,right,female,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,1,0.75,0.5,0.5,0.5,0.25,1,0.75,0.5,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1
25,1,22,B,right,female,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.75,0.5,0.25,0.25,0.25,0,0.25,0.75,0.5,0.75,0.75,0.5,0.5,1,0.75,0.75,0.25,1,1,1,0.75,1,0.5,1,1,1,1,1,1,1,1
25,2,22,B,right,female,0,0.25,0,0,0,0,0,0.25,0,0.5,0,0.25,1,0.25,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.5,1,1,1,1,0.75,1,0.5,0.75,0.75,1,1,1,1,0.75,1,1,1,1,1,1
29,1,21,B,right,male,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0.5,0.25,0.5,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
29,2,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.75,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,20,B,right,female,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0.5,0.25,0.333333333,1,0.25,1,0.75,0.75,0.5,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
31,2,20,B,right,female,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0.5,0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1,1,0.5,1,1,1,0.75,1,0.75,0.75,0.75,1,0.75,1,1,1,1
32,1,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.75,1
32,2,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0.75,0.25,0,0.5,0.75,0.75,1,1,0.75,0.75,0.5,0.25,0.75,1,1,0.75,1,0.25
34,1,28,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.5,0.5,0.25,1,1,1,0.75,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,2,28,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0.25,0.75,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,28,B,right,male,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0.75,0.25,0.75,0.75,0.75,0.75,0.75,1,1,0.5,1,1,0.75,0.75,1,1,1,1,0.333333333,1,1,1,1,1,0.75,1,0.75,1,0.75
35,2,28,B,right,male,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0.75,0.75,0.5,0.25,0.75,0.5,0.75,1,1,0.5,1,0.75,0.75,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1
36,1,28,B,right,male,0,0,0,0,0,0.25,0,0,0.333333333,0,0,0,0,0.333333333,0.5,0,0.5,0.25,0.75,1,0.75,0.5,1,0.5,1,1,1,0.75,0.75,1,0.75,1,0.333333333,0.75,1,1,1,1,1,1,1,1
36,2,28,B,right,male,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0.25,1,0.75,1,0.5,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1
38,1,22,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.5,0.25,1,0.25,0.5,0.5,0.5,0.75,0.75,1,0.666666667,1,1,0.25,1,1,1,0.5,1,0.75,1,1,1,1,1,1,1,1
38,2,22,B,right,female,0,0.25,0,0,0,0,0,0,0,0.25,0.666666667,0,0.75,0.75,0.5,0.25,1,0.5,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,0.75,0.5,1,1,1,1,1,1,1
39,1,24,B,right,male,0.25,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1
39,2,24,B,right,male,0,0.25,0,0,0,0,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1
41,1,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.25,0.5,0.5,1,0.5,0.75,0.75,0.75,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,2,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.25,0.25,0.75,0.5,1,1,1,0.75,0.75,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,30,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.5,0.333333333,0,1,1,1,1,0.75,0.666666667,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1
42,2,30,B,right,male,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0.25,0.75,0,0.333333333,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,23,B,right,male,0,0,0,0,0.333333333,0,0.25,0,0,0,0,0.25,0.25,0,1,0,0.5,0.25,1,1,1,0.75,1,0.75,1,0.75,1,1,1,0.75,1,1,1,1,0.666666667,0.75,1,1,1,1,1,1
45,2,23,B,right,male,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.75,0.5,0.75,0.75,0.666666667,1,1,0.25,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.333333333,0,0.5,0.5,0.25,0.25,0.25,0.25,0.75,0.5,0.75,0.75,0.333333333,0.75,0.75,0.5,1,0.75,1,0.75,0.5,1,1,1,0.75,0.5,1,1
46,2,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0.333333333,0.5,0.5,0.5,0.5,1,0,0.75,0.5,1,1,0.75,0.75,0.75,0.5,1,1,0.75,0.5,0.75,0.25
47,1,21,B,right,female,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.75,0.25,0.5,0.5,0.75,1,0.75,0.75,1,1,1,0.75,0.75,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.5,1,1
47,2,21,B,right,female,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.75,0.25,0.75,0.5,0.5,0,0.75,1,0.75,1,1,0,0.75,1,0.75,0.75,0.75,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1
48,1,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0.666666667,1,0,0.75,0.25,1,1,0.75,1,1,0.75,1,1,1,1,1,1
48,2,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0.5,0.333333333,0.5,0.666666667,0.75,0.5,0.5,0.75,0.5,0,1,1,1,1,1,1,1,0.75,1,1,0.75,1
49,1,25,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0.5,1,0.25,0.25,0.5,0.75,0.75,1,0.75,1,0.5,1,1,0.75,1,1,1,1,1,1,1,1,1
49,2,25,B,right,female,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0.5,0.5,0.5,0.75,0.25,1,1,0.75,0.75,1,0.25,1,1,0.5,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1
53,1,21,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333,0,0.25,0.25,0.75,1,1,0.75,1,0.75,1,0.75,1,1,0.5,1,1,1,1,1,1,1
53,2,21,B,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0.25,0.75,0,0.75,0,1,1,1,1,0.75,0.25,1,0.5,1,0.75,1,1,0.5,1,0.75,0.75,1,0.25
56,1,21,B,right,female,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0.5,0.5,1,0,0.5,0.5,0.25,0.75,1,0.5,0.75,1,1,0.5,0.5,0.75,0.75,0.75,1,0.5,0.75,1,1,1,1,0.75,1,1,0.75
56,2,21,B,right,female,0,0.25,0.5,0.25,0.25,0,0,0.25,0,0.75,0.666666667,0.5,0.5,0.75,1,0.75,0.5,0.25,0.75,0.5,0.75,1,0.5,0.75,1,1,0.75,0.5,0.75,0.5,0.75,1,1,0.75,0.75,1,1,0.666666667,0.666666667,1,1,0.75
57,1,22,B,right,male,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0.75,0.25,0,0.5,0.5,0.25,0.5,1,1,0.25,0.333333333,1,1,1,1,1,1,0.75,0.75,0.5,1,0.75,1,0.5,1,1,1,1,1,1
57,2,22,B,right,male,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.75,0.75,0.5,0.75,0.75,0.5,0.75,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,25,B,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0,0.75,0.5,0.75,0.5,0.5,0.5,1,1,1,0.75,1,1,1,1,1,0.75,1,1
67,2,25,B,right,female,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.5,0.5,0.25,0.5,0.75,1,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1,21,B,right,male,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0.5,0,0,1,0,0.25,0.75,0.333333333,1,0.25,0.75,0.333333333,0.666666667,1,0.75,0.75,1,1,1,1,0.333333333,1,0.5,1
68,2,21,B,right,male,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.333333333,0,0.666666667,0.25,0.25,0.5,0.5,0.666666667,0.5,0.75,0.25,1,1,1,1,0.75,1,1,1,1,1,0.5,1,1,1,1,1,0.75,1
69,1,23,B,right,female,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.75,0.75,0.75,0.25,0.75,0.75,1,0.75,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,0.75,1,0.75,1
69,2,23,B,right,female,0,0,0,0,0,0,0,0.25,0.5,0,0.5,0.5,1,0.5,0.5,1,0.75,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1
